texto,label
"Dose para adultos e crianças acima de 40 kg 
7 horas
15 horas
23 horas
Amoxicilina _ pó para suspensão_V13_VP 
Dose padrão: 250 mg, três vezes ao dia (de 8 em 8 horas), podendo ser aumentada para 500 mg, três vezes ao dia (de 8 em 8 horas) nas 
infecções mais graves. 
Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divididas) 
Recomenda-se uma dose de 3 g, duas vezes ao dia (de 12 em 12 horas) nos casos que requerem tratamento de infecção respiratória 
purulenta (com a presença de pus) grave ou recorrente. 
Tratamento de curta duração 
Gonorreia: dose única de 3 g. 
Erradicação de Helicobacter pylori em úlcera péptica (no duodeno ou no estômago) 
Para combater o Helicobacter (bactéria que ataca o estômago e o duodeno), recomenda-se o uso de amoxicilina tri-hidratada no esquema 
de 750 mg a 1 g, duas vezes ao dia, em associação com um inibidor da bomba de prótons (exemplo: omeprazol, lanzoprazol) e outro 
agente antimicrobiano (por exemplo claritromicina, metronidazol), por 7 dias. 
Dose para crianças abaixo de 40 kg 
Dose padrão para crianças: 20 a 50 mg/kg/dia em doses divididas (de 8 em 8 horas), até um máximo de 150 mg/kg/dia em doses divididas. 
Pacientes com insuficiência renal (dos rins) 
Na insuficiência renal, a eliminação do antibiótico é mais lenta. Conforme o grau dessa condição, seu médico pode indicar a redução da 
dose diária total de acordo com o esquema descrito a seguir. 
Adultos e crianças acima de 40 kg 
- insuficiência leve: nenhuma alteração de dose;  
- insuficiência moderada: máximo de 500 mg, duas vezes ao dia (de 12 em 12 horas);  
- insuficiência grave: máximo de 500 mg, uma vez ao dia.  
Crianças abaixo de 40 kg 
- insuficiência leve: nenhuma alteração de dose;  
- insuficiência moderada: 15 mg/kg, duas vezes ao dia (de 12 em12 horas); (no máximo de 500 mg, duas vezes ao dia);  
- insuficiência grave: 15 mg/kg, uma vez ao dia (no máximo de 500 mg).  
Pacientes que recebem diálise peritoneal 
Usa-se a mesma posologia indicada para pacientes com insuficiência renal grave. A diálise peritoneal (processo de limpeza das 
substâncias tóxicas do organismo através do peritônio, membrana que envolve o abdômen) não remove a amoxicilina do corpo. 
Pacientes que recebem hemodiálise 
Usa-se a mesma posologia indicada para pacientes com insuficiência renal grave. 
A amoxicilina é removida do sangue por hemodiálise (processo que substitui os rins na filtragem sanguínea). Portanto, uma dose adicional 
(500 mg para adultos e crianças acima de 40 kg ou 15 mg/kg para crianças abaixo de 40 kg) pode ser administrada durante e no final de 
cada diálise. 
Seu médico poderá indicar tratamento por via parenteral (feito com aplicação de injeções intravenosas, intramusculares ou subcutâneas) 
nos casos em que a via oral for considerada inadequada (particularmente nos tratamentos urgentes de infecções graves). 
Conforme o grau de insuficiência renal, talvez seu médico ache necessário reduzir a dose diária total. 
Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento.  
Não interrompa o tratamento sem o conhecimento do seu médico.",POSOLOGIA
"Se você esquecer uma dose, tome-a assim que se lembrar, mas continue com o horário normal das demais. Só não tome duas doses com 
intervalo igual ou menor que 1 hora. 
Em caso de dúvidas, procure orientação do farmacêutico ou de seu médico, ou cirurgião-dentista.",OUTROS
"Avise seu médico o mais cedo possível se você não se sentir bem durante o tratamento com amoxicilina tri-hidratada. 
Assim como todo medicamento, amoxicilina tri-hidratada pode provocar reações adversas, porém isso não ocorre com todas as pessoas. 
Os efeitos colaterais deste medicamento geralmente são leves. 
Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento): 
- Diarreia (várias evacuações amolecidas por dia) e enjoo; quando isso acontece, os sintomas normalmente são leves e com frequência 
Amoxicilina _ pó para suspensão_V13_VP 
podem ser evitados tomando-se o medicamento no início das refeições. Se continuarem ou se tornarem graves, consulte o médico.  
- Erupções da pele.  
Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento): 
- Vômito, urticária e coceira. 
Reações muito raras (ocorrem em menos de 0,01% dos pacientes que utilizam este medicamento): 
- Diminuição de glóbulos brancos (leucopenia reversível), que pode resultar em infecções frequentes, como febre, calafrios, inflamação 
da garganta ou úlceras na boca;  
- Baixa contagem de plaquetas (trombocitopenia reversível), que pode resultar em sangramento ou hematomas (manchas roxas que 
surgem com mais facilidade que o normal);  
- Destruição de glóbulos vermelhos e consequentemente anemia (anemia hemolítica), que pode resultar em cansaço, dores de cabeça e 
falta de ar causada pela prática de exercícios físicos, vertigem, palidez e amarelamento da pele e/ou dos olhos;  
- Sinais repentinos de alergia, tais como erupções da pele, prurido (coceira) ou urticária, inchaço da face, dos lábios, da língua ou de 
outras partes do corpo, falta de ar, respiração ofegante ou problemas para respirar; se esses sintomas ocorrerem, pare de usar o 
medicamento e procure socorro médico o mais rápido possível;  
- Dor no peito, que pode ser um sinal de uma reação alérgica potencialmente grave chamada síndrome de Kounis; 
- Vômitos repetitivos (1 a 4 horas após a administração de amoxicilina tri-hidratada), dores no estômago, sonolência anormal, diarreia e 
pressão baixa, que podem ser um sinal de uma reação alérgica grave denominada síndrome de enterocolite induzida por medicamentos; 
- Convulsões podem ocorrer em pacientes com função renal prejudicada ou que estejam recebendo doses altas do medicamento;  
- Hipercinesia (presença de movimentos exacerbados e incontroláveis), tontura;  
- Candidíase mucocutânea, infecção micótica (causada por fungos) que normalmente afeta as partes íntimas ou a boca; na área genital, 
pode provocar coceira e queimação (com a presença de uma fina camada de secreção branca), e na boca ou na língua podem surgir pintas 
brancas dolorosas;  
- Colite associada a antibióticos [inflamação no cólon (intestino grosso), causando diarreia grave, que também pode conter sangue e ser 
acompanhada de cólicas abdominais];  
- Sua língua pode mudar de cor, ficando amarela, marrom ou preta, e dar a impressão de ter pelos (língua pilosa negra);  
- Houve relatos de descoloração superficial dos dentes em crianças. Uma boa higiene oral ajuda a prevenir esse efeito porque o produto 
pode, em geral, ser removido com a escovação (apenas amoxicilina tri-hidratada em suspensão oral); 
- Inflamação da membrana que reveste o cérebro (meningite asséptica);  
- Erupção cutânea com bolhas dispostas em círculo com crosta central ou como um colar de pérolas (doença IgA linear); 
- Efeitos relacionados ao fígado; esses sintomas podem manifestar-se como enjoo, vômito, perda de apetite, sensação geral de mal-estar, 
febre, coceira, amarelamento da pele e dos olhos e escurecimento da urina e aumento de algumas substâncias (enzimas) produzidas pelo 
fígado; 
- Reações cutâneas graves: erupção cutânea (eritema multiforme), que pode formar bolhas (com pequenas manchas escuras centrais 
rodeadas por uma área pálida, com um anel escuro ao redor da borda); erupção cutânea generalizada com bolhas e descamação da pele 
na maior parte da superfície corporal (necrólise epidérmica tóxica); erupções na pele com bolhas e descamação, especialmente ao redor 
da boca, nariz, olhos e genitais (síndrome de Stevens-Johnson); erupções na pele com bolhas contendo pus (dermatite esfoliativa bolhosa); 
erupções escamosas na pele, com bolhas e inchaços sob a pele (exantema pustuloso);  
- Doença renal (problemas para urinar, possivelmente com dor e presença de sangue ou cristais na urina);  
- Sintomas semelhantes aos da gripe com erupção cutânea, febre, glândulas inchadas e resultados anormais de exames de sangue 
[incluindo o aumento dos glóbulos brancos (eosinofilia) e enzimas hepáticas] [Reações do medicamento com eosinofilia e sintomas 
sistêmicos (DRESS)]. 
- Erupção cutânea vermelha comumente observada em ambos os lados das nádegas, parte interna superior das coxas, axilas, pescoço 
(Exantema Intertriginoso e Flexural Simétrico Relacionado a Medicamentos (SDRIFE)). 
Se qualquer desconforto incomum se manifestar enquanto você estiver tomando o medicamento, informe seu médico o mais breve 
possível. 
Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. 
Informe também à empresa através do seu serviço de atendimento.",EFEITOS_ADVERSOS
"É pouco provável que ocorram problemas graves em caso de superdosagem de amoxicilina. As reações mais comuns são enjoo, vômito 
e diarreia. Procure seu médico para que os sintomas sejam tratados. 
Em caso de uso de grande quantidade deste medicamento, procure rapidamente socorro médico e leve a embalagem ou bula do 
medicamento, se possível. Ligue para 0800 722 6001, se você precisar de mais orientações. 
Amoxicilina _ pó para suspensão_V13_VP",OUTROS
"M.S.: 1.0043.0727 
VENDA SOB PRESCRIÇÃO MÉDICA. SÓ PODE SER VENDIDO COM RETENÇÃO DA RECEITA. 
Esta bula foi atualizada conforme Bula Padrão aprovada pela ANVISA em 26/05/2025. 
Fabricado por: 
MOMENTA FARMACÊUTICA LTDA. 
Rua Enéas Luis Carlos Barbanti, 216 - São Paulo - SP   
Registrado por: 
Rod. Presidente Castello Branco, 3.565 
Itapevi - SP  
Amoxicilina _ pó para suspensão_V13_VP 
Histórico de Alterações da Bula  
Dados da submissão eletrônica 
Dados da petição/notificação que altera bula 
Dados das alterações de bulas 
Data do 
expediente 
No do 
expediente 
Assunto 
Data do 
expedient
e 
No do 
expediente 
Assunto 
Data de 
aprovaçã
o 
Itens de bula 
Versões 
(VP/VP
S) 
Apresentaç
ões 
relacionada
s 
07/01/2015 
0009954/15-6 
10459 –
GENÉRICO – 
Inclusão Inicial 
de Texto de 
Bula – RDC 
60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não aplicável 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
400 mg /5 mL 
14/08/2015 
0723644/15-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
14/08/20
15 
0723644/1
5-1 
Não 
aplicável 
Não 
aplicável 
Correção da 
restrição de 
uso do 
medicamento 
conforme 
referência 
VP 
Pó para 
suspensão 
400 mg /5 mL 
15/09/2015 
0819225/15-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Adequação da 
apresentação 
do 
medicamento 
6. Como devo 
usar este 
medicamento 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
400 mg /5 mL 
10/08/2017 
1674785/17-2 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
6. Como devo 
usar este 
medicamento 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
400 mg /5 mL 
04/09/2017 
1877698/17-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Correção de 
erros 
ortográficos. 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
09/11/2017 
2187886/17-2 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
8. Quais os 
males que este 
medicamento 
pode me 
causar? 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
20/09/2018 
0915528/18-7 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
6. Como devo 
usar este 
medicamento? 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
13/06/2019 
0524674/19-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
6. Como devo 
usar este 
medicamento? 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
Amoxicilina _ pó para suspensão_V13_VP 
21/10/2019 
2543022/19-0 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
8. Quais os 
males que este 
medicamento 
pode me 
causar? 
VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
20/04/2021 
1509072/21-8 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não aplicável 
VPS 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
12/07/2022 
4415399/22-3 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
4. O que devo 
saber antes de 
usar este 
medicamento? 
8. Quais os 
males que este 
medicamento 
pode me 
causar?",OUTROS
"VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
07/07/2023 
0699074/23-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
4. O que devo 
saber antes de 
usar este 
medicamento? 
5. Onde, como 
e por quanto 
tempo posso 
guardar este 
medicamento? 
8. Quais os 
males que este 
medicamento 
pode me 
causar?",OUTROS
"VP 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
 14/08/2024 
111015424-1 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não aplicável 
VPS 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
Não aplicável 
Não aplicável 
10452 - 
GENÉRICO - 
Notificação de 
Alteração de 
Texto de Bula 
– RDC 60/12 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
Não 
aplicável 
4. O que devo 
saber antes de 
usar este 
medicamento?",OUTROS
"VPS 
Pó para 
suspensão 
250 mg/5 mL e 
500 mg/5 mL / 
                      amoxicilina tri-hidratada 
         Pó para suspensão oral 
                       400 mg/5ml 
Amoxicilina _ pó para suspensão_V13_VP 
amoxicilina tri-hidratada 
Medicamento genérico Lei nº 9.787, de 1999. 
APRESENTAÇÃO 
Pó para suspensão 400 mg/ 5 mL: Embalagem contendo 1 frasco com 100 mL (após reconstituição) de amoxicilina 
tri-hidratada + 1 seringa dosadora. 
USO ORAL 
USO PEDIÁTRICO DE 2 MESES DE IDADE A 12 ANOS",OUTROS
"Cada 5 mL de suspensão oral contém: 
amoxicilina tri-hidratada ...................................................................................... 459,2 mg* 
excipientes** q.s.p. ....................................................................................................... 5 mL 
*Cada 1,148 mg de amoxicilina tri-hidratada equivalem a 1 mg de amoxicilina anidra. 
**Excipientes: dióxido de silício, benzoato de sódio, goma xantana, corante vermelho FC nº 3, citrato de sódio dihidratado 
e aroma de tutti-frutti/guaraná e sacarose.",COMPOSICAO
"O medicamento amoxicilina tri-hidratada é um antibiótico eficaz contra grande variedade de bactérias, indicado no 
tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Se desejar saber mais 
informações, pergunte ao seu médico.",INDICACAO
"Este medicamento é um antibiótico que contém uma penicilina chamada amoxicilina como ingrediente ativo. A 
amoxicilina pertence ao grupo dos antibióticos penicilínicos. A amoxicilina tri-hidratada é usada no tratamento de 
uma gama de infecções causadas por bactérias. Podem ser infecções nos pulmões (pneumonia e bronquite), nas 
amígdalas (amigdalite), nos seios da face (sinusite), no trato urinário e genital, na pele e nas mucosas. A amoxicilina 
tri-hidratada atua destruindo as bactérias que causam essas infecções.",OUTROS
"Contraindicações 
Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos 
penicilínicos ou antibióticos similares, chamados cefalosporinas. Se após tomar um antibiótico você teve uma reação 
alérgica (como lesões inflamatórias na pele chamadas de erupções cutâneas), converse com o médico antes de usar a 
amoxicilina tri-hidratada.",CONTRAINDICACAO
"Advertências e precauções 
Antes de iniciar o tratamento com amoxicilina tri-hidratada, informe seu médico: 
- se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou 
pescoço; 
- se você apresenta febre glandular; 
- se você toma medicamentos usados para prevenir coágulos sanguíneos, tais como varfarina; 
- se você apresenta problema nos rins; 
- se você não estiver urinando regularmente; 
- se você já teve diarreia durante ou após o uso de antibióticos. 
A amoxicilina tri-hidratada suspensão oral 400 mg/5 mL contém benzoato de sódio, que é ligeiramente irritante para 
a pele, olhos e membrana mucosa. 
Amoxicilina _ pó para suspensão_V13_VP 
Atenção: este medicamento contém açúcar, portanto deve ser usado com cautela em portadores de diabetes. 
Insuficiência renal 
Converse com seu médico caso você sofra de insuficiência renal. Ele decidirá se o uso de amoxicilina tri-hidratada é 
recomendável. 
Crianças 
A amoxicilina tri-hidratada suspensão pediátrica é recomendada para crianças acima de 2 meses de idade. 
Gravidez e amamentação 
A amoxicilina tri-hidratada pode ser usada na gravidez desde que os benefícios potenciais sejam maiores que os 
riscos potenciais associados com o tratamento. Informe seu médico se você estiver grávida ou achar que está 
grávida. 
Você pode amamentar seu bebê enquanto estiver tomando amoxicilina tri-hidratada, mas há excreção de 
quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes 
de iniciar o tratamento com amoxicilina tri-hidratada. 
Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião dentista.",OUTROS
"Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir ao mesmo tempo em que usa 
amoxicilina tri-hidratada. Não deixe de informar seu médico caso você esteja tomando: 
- medicamento para tratamento de gota (probenecida ou alopurinol); 
- outros antibióticos, como tetraciclina; 
- anticoagulantes (usados para prevenir coágulos sanguíneos), como varfarina ou acenocumarol 
- pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais 
para evitar a gravidez). 
Se você se submeter a algum teste para verificar a presença de glicose na urina durante o tratamento, informe que 
você está utilizando amoxicilina tri-hidratada. 
É melhor que você tome ou administre amoxicilina tri-hidratada junto com a alimentação. No entanto, este 
medicamento também terá efeito se for ingerido sem alimentos. 
Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. 
Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.",OUTROS
"Conservar em temperatura ambiente (entre 15ºC e 30ºC). Proteger da luz e umidade. 
Após a reconstituição, a suspensão é estável por até 14 dias quando conservada em temperatura ambiente (entre 
15°C e 30°C). Após este prazo, despreze a suspensão não utilizada. 
Número de lote e datas de fabricação e validade: vide embalagem. 
Não use medicamento com o prazo de validade vencido. Guarde-o em sua embalagem original. 
Características do produto: 
Pó branco a levemente róseo à rosa 
Após reconstituição: Suspensão rósea e homogênea. 
Antes de usar, observe o aspecto do medicamento. Caso ele esteja no prazo de validade e você observe alguma 
mudança no aspecto, consulte o farmacêutico para saber se poderá utilizá-lo. 
Todo medicamento deve ser mantido fora do alcance das crianças.",OUTROS
"Modo de usar 
Importante: agite bem o frasco antes de adicionar a água. 
Amoxicilina _ pó para suspensão_V13_VP 
Agite a suspensão antes de usar.",POSOLOGIA
